楼主ID,评论者ID,话题内容,评论内容,评论者昵称,评论者性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,评论日期,评论时间,回复量,点赞量
7753204511,7051313846,跟亚运比个6🤙#杭州亚运会# 来一场杭州定制City Ride🚴♀️打卡亚运六大地标，比手势发微博@雷达汽车 带#亚运打卡# 赢取雷达汽车亚运观赛大礼包（观赛门票+往返机票）[禮物]#杭州亚运会官方指定用车-户外赛事用车# #雷达rd6# #吉利雷达# ,行行行，玩儿特种兵那套是吧，咻咻咻就打卡完了？,吉利几何,f,True,2,0,3724,209,153.2万,4,2023/09/01,2023/9/01,09:21:56,1,0
7753204511,2184979950,跟亚运比个6🤙#杭州亚运会# 来一场杭州定制City Ride🚴♀️打卡亚运六大地标，比手势发微博@雷达汽车 带#亚运打卡# 赢取雷达汽车亚运观赛大礼包（观赛门票+往返机票）[禮物]#杭州亚运会官方指定用车-户外赛事用车# #雷达rd6# #吉利雷达# ,打卡亚运六大地标！跟亚运比个6🤙 #亚运打卡#,吉利控股集团,m,True,2,0,8672,215,30万,40,2023/09/01,2023/9/01,10:15:08,0,0
7753204511,3241626430,跟亚运比个6🤙#杭州亚运会# 来一场杭州定制City Ride🚴♀️打卡亚运六大地标，比手势发微博@雷达汽车 带#亚运打卡# 赢取雷达汽车亚运观赛大礼包（观赛门票+往返机票）[禮物]#杭州亚运会官方指定用车-户外赛事用车# #雷达rd6# #吉利雷达# ,好好好，这么玩是吧666给你比6,卷发柴,m,False,-1,0,9807,414,263,14,2023/09/01,2023/9/01,13:24:13,0,1
7753204511,1733205330,跟亚运比个6🤙#杭州亚运会# 来一场杭州定制City Ride🚴♀️打卡亚运六大地标，比手势发微博@雷达汽车 带#亚运打卡# 赢取雷达汽车亚运观赛大礼包（观赛门票+往返机票）[禮物]#杭州亚运会官方指定用车-户外赛事用车# #雷达rd6# #吉利雷达# ,#亚运打卡# 万一呢,-Larimar-7-,m,True,0,0,70505,1977,2022,48,2023/09/01,2023/9/06,20:36:20,0,1
7753204511,6277616260,跟亚运比个6🤙#杭州亚运会# 来一场杭州定制City Ride🚴♀️打卡亚运六大地标，比手势发微博@雷达汽车 带#亚运打卡# 赢取雷达汽车亚运观赛大礼包（观赛门票+往返机票）[禮物]#杭州亚运会官方指定用车-户外赛事用车# #雷达rd6# #吉利雷达# ,#亚运打卡#,azwdhbe,m,False,-1,0,1579,816,315,31,2023/09/01,2023/9/23,23:37:07,0,0
7753204511,6277616260,跟亚运比个6🤙#杭州亚运会# 来一场杭州定制City Ride🚴♀️打卡亚运六大地标，比手势发微博@雷达汽车 带#亚运打卡# 赢取雷达汽车亚运观赛大礼包（观赛门票+往返机票）[禮物]#杭州亚运会官方指定用车-户外赛事用车# #雷达rd6# #吉利雷达# ,#亚运打卡#,azwdhbe,m,False,-1,0,1579,816,315,31,2023/09/01,2023/9/17,20:52:41,0,0
7753204511,5097346053,跟亚运比个6🤙#杭州亚运会# 来一场杭州定制City Ride🚴♀️打卡亚运六大地标，比手势发微博@雷达汽车 带#亚运打卡# 赢取雷达汽车亚运观赛大礼包（观赛门票+往返机票）[禮物]#杭州亚运会官方指定用车-户外赛事用车# #雷达rd6# #吉利雷达# ,🤙@雷达汽车,裹着花生碎的糯米团子,f,False,-1,0,23752,1276,281,9,2023/09/01,2023/9/08,08:26:34,0,0
7753204511,2850946477,跟亚运比个6🤙#杭州亚运会# 来一场杭州定制City Ride🚴♀️打卡亚运六大地标，比手势发微博@雷达汽车 带#亚运打卡# 赢取雷达汽车亚运观赛大礼包（观赛门票+往返机票）[禮物]#杭州亚运会官方指定用车-户外赛事用车# #雷达rd6# #吉利雷达# ,#亚运打卡#,吃不饱的cherry呀,f,True,0,0,745,761,522,43,2023/09/01,2023/9/08,01:28:49,0,0
7753204511,6474777961,跟亚运比个6🤙#杭州亚运会# 来一场杭州定制City Ride🚴♀️打卡亚运六大地标，比手势发微博@雷达汽车 带#亚运打卡# 赢取雷达汽车亚运观赛大礼包（观赛门票+往返机票）[禮物]#杭州亚运会官方指定用车-户外赛事用车# #雷达rd6# #吉利雷达# ,#亚运打卡# 想去看孙颖莎,莎出重围婷进决赛,f,True,0,0,3835,849,1799,9,2023/09/01,2023/9/07,00:00:24,0,0
7753204511,5332603133,跟亚运比个6🤙#杭州亚运会# 来一场杭州定制City Ride🚴♀️打卡亚运六大地标，比手势发微博@雷达汽车 带#亚运打卡# 赢取雷达汽车亚运观赛大礼包（观赛门票+往返机票）[禮物]#杭州亚运会官方指定用车-户外赛事用车# #雷达rd6# #吉利雷达# ,#亚运打卡# 我我我,吉祥的光vc,m,True,0,0,1592,792,203,9,2023/09/01,2023/9/06,23:58:04,0,1
7753204511,7244266775,跟亚运比个6🤙#杭州亚运会# 来一场杭州定制City Ride🚴♀️打卡亚运六大地标，比手势发微博@雷达汽车 带#亚运打卡# 赢取雷达汽车亚运观赛大礼包（观赛门票+往返机票）[禮物]#杭州亚运会官方指定用车-户外赛事用车# #雷达rd6# #吉利雷达# ,@雷达汽车 #亚运打卡#  跟亚运比个6🤙#杭州亚运会#,尾巴yyyyy,f,True,0,0,319,178,1.1万,4,2023/09/01,2023/9/06,22:21:42,0,0
7753204511,5724155242,跟亚运比个6🤙#杭州亚运会# 来一场杭州定制City Ride🚴♀️打卡亚运六大地标，比手势发微博@雷达汽车 带#亚运打卡# 赢取雷达汽车亚运观赛大礼包（观赛门票+往返机票）[禮物]#杭州亚运会官方指定用车-户外赛事用车# #雷达rd6# #吉利雷达# ,#亚运打卡# ,海绵饱饱lucky,f,False,-1,0,7206,598,1658,9,2023/09/01,2023/9/06,21:10:05,0,0
7753204511,5716606905,跟亚运比个6🤙#杭州亚运会# 来一场杭州定制City Ride🚴♀️打卡亚运六大地标，比手势发微博@雷达汽车 带#亚运打卡# 赢取雷达汽车亚运观赛大礼包（观赛门票+往返机票）[禮物]#杭州亚运会官方指定用车-户外赛事用车# #雷达rd6# #吉利雷达# ,来了,正能量的树,m,False,-1,0,1771,1016,324,14,2023/09/01,2023/9/06,19:39:56,0,0
7753204511,1839768124,跟亚运比个6🤙#杭州亚运会# 来一场杭州定制City Ride🚴♀️打卡亚运六大地标，比手势发微博@雷达汽车 带#亚运打卡# 赢取雷达汽车亚运观赛大礼包（观赛门票+往返机票）[禮物]#杭州亚运会官方指定用车-户外赛事用车# #雷达rd6# #吉利雷达# ,飞杭州看比赛,开心简单仔,m,False,220,0,82082,1393,846,46,2023/09/01,2023/9/01,16:28:35,0,0
